status.of.existing.checking.account,duration.in.month,credit.history,purpose,credit.amount,savings.account.and.bonds,present.employment.since,installment.rate.in.percentage.of.disposable.income,personal.status.and.sex,other.debtors.or.guarantors,present.residence.since,property,age.in.years,other.installment.plans,name,last.consume.date,housing,number.of.existing.credits.at.this.bank,job,number.of.people.being.liable.to.provide.maintenance.for,telephone,foreign.worker,creditability
no checking account,18,delay in paying off in the past,radio/television,2320,... < 100 DM,unemployed,2,male : single,none,3,real estate,34,none,j36193,2018/11/24,own,2,skilled employee / official,1,none,yes,0
no checking account,7,delay in paying off in the past,radio/television,846,unknown/ no savings account,... >= 7 years,3,male : single,none,4,unknown / no property,36,none,m42802,2018/9/25,for free,1,skilled employee / official,1,none,yes,0
0 <= ... < 200 DM,36,existing credits paid back duly till now,car (new),14318,... < 100 DM,... >= 7 years,4,male : single,none,2,unknown / no property,57,none,T26659,2018/9/17,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
no checking account,6,critical account/ other credits existing (not at this bank),car (new),362,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",52,none,P67277,2018/4/4,own,2,unskilled - resident,1,none,yes,0
... < 0 DM,20,existing credits paid back duly till now,furniture/equipment,2212,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",39,none,j22347,2018/3/7,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,18,existing credits paid back duly till now,car (used),12976,... < 100 DM,unemployed,3,male : single,none,4,unknown / no property,38,none,M41330,2018/7/2,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
no checking account,22,existing credits paid back duly till now,car (new),1283,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,4,building society savings agreement/ life insurance,25,none,j58425,2018/7/16,rent,1,skilled employee / official,1,none,yes,0
... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,car (new),1330,... < 100 DM,... < 1 year,4,male : single,none,1,real estate,26,none,w67726,2018/5/6,own,1,skilled employee / official,1,none,yes,0
no checking account,30,delay in paying off in the past,business,4272,100 <= ... < 500 DM,1 <= ... < 4 years,2,male : single,none,2,building society savings agreement/ life insurance,26,none,C45396,2018/5/12,own,2,unskilled - resident,1,none,yes,0
no checking account,18,critical account/ other credits existing (not at this bank),radio/television,2238,... < 100 DM,1 <= ... < 4 years,2,male : single,none,1,"car or other, not in attribute Savings account/bonds",25,none,K26937,2018/9/5,own,2,skilled employee / official,1,none,yes,0
no checking account,18,existing credits paid back duly till now,radio/television,1126,unknown/ no savings account,... < 1 year,4,male : single,none,2,real estate,21,none,l39593,2018/9/28,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,7374,... < 100 DM,unemployed,4,male : single,none,4,building society savings agreement/ life insurance,40,stores,t75813,2018/3/28,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,15,critical account/ other credits existing (not at this bank),business,2326,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male : single,none,4,"car or other, not in attribute Savings account/bonds",27,bank,R79170,2018/4/11,own,1,skilled employee / official,1,none,yes,0
no checking account,9,existing credits paid back duly till now,business,1449,... < 100 DM,4 <= ... < 7 years,3,male : single,none,2,"car or other, not in attribute Savings account/bonds",27,none,s97774,2018/10/24,own,2,skilled employee / official,1,none,yes,0
no checking account,18,existing credits paid back duly till now,car (new),1820,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,building society savings agreement/ life insurance,30,none,B31763,2018/11/21,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,12,existing credits paid back duly till now,furniture/equipment,983,... >= 1000 DM,... < 1 year,1,male : single,none,4,real estate,19,none,W93033,2018/8/27,rent,1,unskilled - resident,1,none,yes,0
... < 0 DM,36,existing credits paid back duly till now,car (new),3249,... < 100 DM,4 <= ... < 7 years,2,male : single,none,4,unknown / no property,39,bank,m75796,2018/11/4,for free,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,0
... < 0 DM,6,critical account/ other credits existing (not at this bank),radio/television,1957,... < 100 DM,4 <= ... < 7 years,1,male : single,none,4,"car or other, not in attribute Savings account/bonds",31,none,t64009,2018/1/5,own,1,skilled employee / official,1,none,yes,0
no checking account,9,critical account/ other credits existing (not at this bank),furniture/equipment,2406,... < 100 DM,unemployed,2,male : single,none,3,"car or other, not in attribute Savings account/bonds",31,none,W24864,2018/3/29,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,0
0 <= ... < 200 DM,39,delay in paying off in the past,education,11760,100 <= ... < 500 DM,4 <= ... < 7 years,2,male : single,none,3,unknown / no property,32,none,m18774,2018/9/20,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,2578,... < 100 DM,unemployed,3,male : single,none,4,unknown / no property,55,none,A64360,2018/7/7,for free,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,0
... < 0 DM,36,critical account/ other credits existing (not at this bank),furniture/equipment,2348,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,building society savings agreement/ life insurance,46,none,c79039,2018/5/27,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1223,... < 100 DM,... >= 7 years,1,male : single,none,1,real estate,46,none,v56329,2018/11/28,rent,2,skilled employee / official,1,none,yes,1
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,1516,... >= 1000 DM,1 <= ... < 4 years,4,male : single,none,1,real estate,43,none,G81518,2018/12/4,own,2,unskilled - resident,1,none,yes,0
no checking account,18,existing credits paid back duly till now,radio/television,1473,... < 100 DM,... < 1 year,3,male : single,none,4,real estate,39,none,q31264,2018/7/7,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),business,1887,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,4,real estate,28,bank,M95548,2018/9/22,own,2,skilled employee / official,1,none,yes,0
no checking account,24,delay in paying off in the past,business,8648,... < 100 DM,... < 1 year,2,male : single,none,2,"car or other, not in attribute Savings account/bonds",27,bank,C63708,2018/11/8,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
no checking account,14,delay in paying off in the past,car (new),802,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,"car or other, not in attribute Savings account/bonds",27,none,E71928,2018/9/10,own,2,unskilled - resident,1,none,yes,0
0 <= ... < 200 DM,18,delay in paying off in the past,car (new),2899,unknown/ no savings account,... >= 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",43,none,S34817,2018/2/19,own,1,skilled employee / official,2,none,yes,0
0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,2039,... < 100 DM,... < 1 year,1,male : single,none,1,building society savings agreement/ life insurance,22,none,k83887,2018/1/14,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
no checking account,24,critical account/ other credits existing (not at this bank),car (used),2197,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",43,none,k64425,2018/3/14,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,0
... < 0 DM,15,existing credits paid back duly till now,radio/television,1053,... < 100 DM,... < 1 year,4,male : single,none,2,real estate,27,none,t56354,2018/11/27,own,1,skilled employee / official,1,none,no,0
no checking account,24,existing credits paid back duly till now,radio/television,3235,500 <= ... < 1000 DM,... >= 7 years,3,male : single,none,2,"car or other, not in attribute Savings account/bonds",26,none,C49047,2018/1/24,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
... >= 200 DM / salary assignments for at least 1 year,12,critical account/ other credits existing (not at this bank),car (new),939,500 <= ... < 1000 DM,4 <= ... < 7 years,4,male : single,none,2,real estate,28,none,a33255,2018/6/7,own,3,skilled employee / official,1,"yes, registered under the customers name",yes,1
0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,1967,... < 100 DM,... >= 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",20,none,D66341,2018/7/16,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,33,critical account/ other credits existing (not at this bank),car (used),7253,... < 100 DM,4 <= ... < 7 years,3,male : single,none,2,"car or other, not in attribute Savings account/bonds",35,none,Q11287,2018/8/8,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,0
no checking account,12,critical account/ other credits existing (not at this bank),business,2292,... < 100 DM,unemployed,4,male : single,none,2,"car or other, not in attribute Savings account/bonds",42,stores,m50987,2018/3/1,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
no checking account,10,existing credits paid back duly till now,car (new),1597,500 <= ... < 1000 DM,1 <= ... < 4 years,3,male : single,none,2,unknown / no property,40,none,J82656,2018/1/27,rent,1,unskilled - resident,2,none,no,0
... < 0 DM,24,existing credits paid back duly till now,car (new),1381,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/ life insurance,35,none,P73072,2018/3/25,own,1,skilled employee / official,1,none,yes,1
no checking account,36,critical account/ other credits existing (not at this bank),car (used),5842,... < 100 DM,... >= 7 years,2,male : single,none,2,building society savings agreement/ life insurance,35,none,C16927,2018/11/22,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,0
... < 0 DM,12,existing credits paid back duly till now,car (new),2579,... < 100 DM,... < 1 year,4,male : single,none,1,real estate,33,none,L58799,2018/1/10,own,1,unskilled - resident,2,none,yes,1
... < 0 DM,18,delay in paying off in the past,education,8471,unknown/ no savings account,1 <= ... < 4 years,1,male : single,none,2,"car or other, not in attribute Savings account/bonds",23,none,W51861,2018/1/9,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,0
no checking account,21,existing credits paid back duly till now,car (new),2782,500 <= ... < 1000 DM,4 <= ... < 7 years,1,male : single,none,2,"car or other, not in attribute Savings account/bonds",31,bank,g17266,2018/5/20,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,0
0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),1042,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/ life insurance,33,none,N87260,2018/5/4,own,1,skilled employee / official,1,none,yes,1
